"id","browsing_date","browse_url","tags","favorite"
"511","2020-06-11 19:34:19","https://www.wikipedia.org/","Wikipedia","0"
"512","2020-06-11 19:34:21","https://en.wikipedia.org/","the, free, encyclopedia","0"
"513","2020-06-11 19:34:19","https://wikipedia.org/","Wikipedia","0"
"514","2020-06-29 12:31:27","http://wikipedia.org/","Wikipedia","0"
"515","2020-06-20 20:31:42","https://en.wikipedia.org/wiki/Main_Page","the, free, encyclopedia","0"
"516","2020-06-29 12:31:27","http://en.wikipedia.org/","the, free, encyclopedia","0"
"517","2020-04-02 07:41:18","https://en.wikipedia.org/wiki/Theta_wave","Theta, wave, -, Wikipedia","0"
"518","2020-06-13 13:49:14","https://en.wikipedia.org/wiki/Periodic_table","Periodic, table, -, Wikipedia","0"
"519","2020-04-10 23:48:41","https://en.wikipedia.org/wiki/Periodic_table#/media/File:Simple_Periodic_Table_Chart-en.svg","Periodic, table, -, Wikipedia","0"
"520","2020-04-01 02:18:19","https://en.wikipedia.org/wiki/Mustard_plant","Mustard, plant, -, Wikipedia","0"
"521","2020-05-01 22:38:42","https://en.wikipedia.org/wiki/Arginine","Arginine, -, Wikipedia","0"
"522","2020-04-07 11:47:52","https://en.wikipedia.org/wiki/Skopje","Skopje, -, Wikipedia","0"
"523","2020-04-11 01:14:45","https://en.wikipedia.org/wiki/Thiamine","Thiamine, -, Wikipedia","0"
"524","2020-04-08 20:47:10","https://en.wikipedia.org/wiki/Permanganate","Permanganate, -, Wikipedia","0"
"525","2020-04-08 21:29:05","https://en.wikipedia.org/wiki/Manganese_dioxide","Manganese, dioxide, -, Wikipedia","0"
"526","2020-04-09 01:17:23","https://en.wikipedia.org/wiki/Pennsylvania_State_University","Pennsylvania, State, University, -, Wikipedia","0"
"527","2020-04-17 23:14:38","https://en.wikipedia.org/wiki/Aquarius","Aquarius, -, Wikipedia","0"
"528","2020-04-17 23:14:41","https://en.wikipedia.org/wiki/Aquarius_(constellation)","Aquarius, -, Wikipedia","0"
"529","2020-04-10 02:28:21","https://en.wikipedia.org/wiki/Dhy%C4%81na_in_Buddhism","Dhyana, in, Buddhism, -, Wikipedia","0"
"530","2020-04-21 15:46:23","https://en.wikipedia.org/wiki/The_Canon_of_Medicine","The, Canon, of, Medicine, -, Wikipedia","0"
"531","2020-04-04 15:53:12","https://en.wikipedia.org/wiki/Holy_roman_empire","Holy, Roman, Empire, -, Wikipedia","0"
"532","2020-04-04 16:14:02","https://en.wikipedia.org/wiki/List_of_oldest_universities_in_continuous_operation","List, of, oldest, universities, in, continuous, operation, -, Wikipedia","0"
"533","2020-04-06 08:01:02","https://en.wikipedia.org/wiki/Acetic_acid","Acetic, acid, -, Wikipedia","0"
"534","2020-04-01 01:59:14","https://en.wikipedia.org/wiki/Coriander","Coriander, -, Wikipedia","0"
"535","2020-05-16 17:10:48","https://en.wikipedia.org/wiki/Photography","Photography, -, Wikipedia","0"
"536","2020-04-08 00:38:41","https://en.wikipedia.org/wiki/Silicon","Silicon, -, Wikipedia","0"
"537","2020-04-08 00:38:43","https://en.wikipedia.org/wiki/Silicon#History","Silicon, -, Wikipedia","0"
"538","2020-04-07 11:47:47","https://en.wikipedia.org/wiki/North_Macedonia","North, Macedonia, -, Wikipedia","0"
"539","2020-04-05 15:43:47","https://en.wikipedia.org/wiki/Microprocessor_chronology","Microprocessor, chronology, -, Wikipedia","0"
"540","2020-04-08 21:03:57","https://en.wikipedia.org/wiki/Manganese","Manganese, -, Wikipedia","0"
"541","2020-06-19 20:08:27","https://en.wikipedia.org/wiki/Sodium","Sodium, -, Wikipedia","0"
"542","2020-05-01 22:22:16","https://en.wikipedia.org/wiki/Potassium","Potassium, -, Wikipedia","0"
"543","2020-04-11 01:01:23","https://en.wikipedia.org/wiki/Sulfur","Sulfur, -, Wikipedia","0"
"544","2020-04-08 21:37:07","https://en.wikipedia.org/wiki/Phosphorus","Phosphorus, -, Wikipedia","0"
"545","2020-04-08 22:26:39","https://en.wikipedia.org/wiki/Silver","Silver, -, Wikipedia","0"
"546","2020-04-08 22:34:17","https://en.wikipedia.org/wiki/Ruthenium","Ruthenium, -, Wikipedia","0"
"547","2020-05-14 19:33:38","https://en.wikipedia.org/wiki/X-ray_crystallography","X-ray, crystallography, -, Wikipedia","0"
"548","2020-04-10 19:26:23","https://en.wikipedia.org/wiki/Paul_Dirac","Paul, Dirac, -, Wikipedia","0"
"549","2020-04-21 14:38:27","https://en.wikipedia.org/wiki/Dirac_equation","Dirac, equation, -, Wikipedia","0"
"550","2020-04-10 14:13:13","https://en.wikipedia.org/wiki/Spinor","Spinor, -, Wikipedia","0"
"551","2020-04-10 23:48:29","http://en.wikipedia.org/w/index.php?title=Special:Search&search=periodic+table","Periodic, table, -, Wikipedia","0"
"552","2020-04-10 23:48:29","https://en.wikipedia.org/w/index.php?title=Special:Search&search=periodic+table","Periodic, table, -, Wikipedia","0"
"553","2020-05-02 00:06:01","https://en.wikipedia.org/wiki/Plankton","Plankton, -, Wikipedia","0"
"554","2020-04-08 22:34:18","https://en.wikipedia.org/wiki/Technetium","Technetium, -, Wikipedia","0"
"555","2020-04-10 15:53:06","https://en.wikipedia.org/wiki/Supersymmetry","Supersymmetry, -, Wikipedia","0"
"556","2020-05-17 16:41:26","https://en.wikipedia.org/wiki/Neptune","Neptune, -, Wikipedia","0"
"557","2020-04-08 21:39:30","https://en.wikipedia.org/wiki/Phosphorus#History","Phosphorus, -, Wikipedia","0"
"558","2020-05-01 22:20:46","https://en.wikipedia.org/wiki/Caesium","Caesium, -, Wikipedia","0"
"559","2020-04-08 15:16:04","https://en.wikipedia.org/wiki/Flowering_plant","Flowering, plant, -, Wikipedia","0"
"560","2020-04-08 15:16:45","https://en.wikipedia.org/wiki/Spermatophyte","Spermatophyte, -, Wikipedia","0"
"561","2020-04-11 00:59:36","https://en.wikipedia.org/wiki/Glycine","Glycine, -, Wikipedia","0"
"562","2020-05-29 20:37:20","https://en.wikipedia.org/wiki/France","France, -, Wikipedia","0"
"563","2020-06-20 20:30:38","https://en.wikipedia.org/wiki/Angiosperm_Phylogeny_Group","Angiosperm, Phylogeny, Group, -, Wikipedia","0"
"564","2020-04-21 10:14:11","http://en.wikipedia.org/w/index.php?title=Special:Search&search=aves","Bird, -, Wikipedia","0"
"565","2020-04-21 10:14:11","https://en.wikipedia.org/w/index.php?title=Special:Search&search=aves","Bird, -, Wikipedia","0"
"566","2020-04-21 10:14:11","https://en.wikipedia.org/wiki/Aves","Bird, -, Wikipedia","0"
"567","2020-04-21 10:14:13","https://en.wikipedia.org/wiki/Bird","Bird, -, Wikipedia","0"
"568","2020-04-19 23:26:17","https://en.wikipedia.org/wiki/Conway%27s_Game_of_Life","Game, of, Life, -, Wikipedia","0"
"569","2020-04-19 23:26:19","https://en.wikipedia.org/wiki/John_Horton_Conway","John, Horton, Conway, -, Wikipedia","0"
"570","2020-04-08 22:37:00","https://en.wikipedia.org/wiki/Fermion","Fermion, -, Wikipedia","0"
"571","2020-04-08 22:36:02","https://en.wikipedia.org/wiki/Hadron","Hadron, -, Wikipedia","0"
"572","2020-04-12 18:55:53","https://en.wikipedia.org/wiki/List_of_assigned_/8_IPv4_address_blocks","List, of, assigned, /8, IPv4, address, blocks, -, Wikipedia","0"
"573","2020-04-08 21:18:21","https://en.wikipedia.org/wiki/Glucose","Glucose, -, Wikipedia","0"
"574","2020-05-29 20:38:39","https://en.wikipedia.org/wiki/World_Trade_Organization","World, Trade, Organization, -, Wikipedia","0"
"575","2020-05-30 21:23:39","https://en.wikipedia.org/wiki/DNA_sequencing","DNA, sequencing, -, Wikipedia","0"
"576","2020-05-01 18:43:18","https://en.wikipedia.org/wiki/Attractor_network","Attractor, network, -, Wikipedia","0"
"577","2020-06-21 21:27:30","https://en.wikipedia.org/wiki/Magnon","Magnon, -, Wikipedia","0"
"578","2020-05-01 22:20:37","https://en.wikipedia.org/wiki/Iodine","Iodine, -, Wikipedia","0"
"579","2020-05-30 21:53:48","https://en.wikipedia.org/wiki/Chaos_theory","Chaos, theory, -, Wikipedia","0"
"580","2020-04-10 23:48:32","http://en.wikipedia.org/w/index.php?title=Special:Search&search=54+(number)","54, -, Wikipedia","0"
"581","2020-04-10 23:48:32","https://en.wikipedia.org/w/index.php?title=Special:Search&search=54+(number)","54, -, Wikipedia","0"
"582","2020-04-11 00:31:24","https://en.wikipedia.org/wiki/54_(number)","54, -, Wikipedia","0"
"583","2020-06-12 21:23:49","https://en.wikipedia.org/wiki/List_of_most_popular_websites","List, of, most, popular, websites, -, Wikipedia","0"
"584","2020-05-24 14:21:40","https://en.wikipedia.org/wiki/List_of_largest_companies_by_revenue","List, of, largest, companies, by, revenue, -, Wikipedia","0"
"585","2020-05-16 20:30:09","https://en.wikipedia.org/wiki/Quake","Quake, -, Wikipedia","0"
"586","2020-05-16 20:30:13","https://en.wikipedia.org/wiki/Quake_(video_game)","Quake, -, Wikipedia","0"
"587","2020-04-08 15:07:14","https://en.wikipedia.org/wiki/Utah","Utah, -, Wikipedia","0"
"588","2020-04-08 15:07:24","https://en.wikipedia.org/wiki/Utah#/media/File:Seal_of_Utah.svg","Seal, of, Utah, -, Utah, -, Wikipedia","0"
"589","2020-04-01 16:41:10","https://en.wikipedia.org/wiki/Human","Human, -, Wikipedia","0"
"590","2020-04-25 11:46:43","https://en.wikipedia.org/wiki/R-process","r-process, -, Wikipedia","0"
"591","2020-04-08 11:58:03","https://en.wikipedia.org/wiki/Aminobutyric_acid","Aminobutyric, acid, -, Wikipedia","0"
"592","2020-04-08 11:58:01","https://en.wikipedia.org/wiki/Alpha-Aminobutyric_acid","alpha-Aminobutyric, acid, -, Wikipedia","0"
"593","2020-04-02 08:36:42","https://en.wikipedia.org/wiki/Telegraphy","Telegraphy, -, Wikipedia","0"
"594","2020-05-24 12:26:01","https://en.wikipedia.org/wiki/University_of_Strasbourg","University, of, Strasbourg, -, Wikipedia","0"
"595","2020-05-24 12:25:02","https://en.wikipedia.org/wiki/University_of_Strasbourg#/media/File:Palais_Universitaire_de_Strasbourg-Aula_(1).jpg","Palais, Universitaire, de, Strasbourg-Aula, -, University, of, Strasbourg, -, Wikipedia","0"
